Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MW);Objednávky na predaj (MW);Zobchodovaný nákup (MW);Zobchodovaný predaj (MW);Rozdiel zobchodovaných  množstiev (MW);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MW);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MW)
11.8.2026;1;00:00 - 00:15;81,8;40,4;29,7;3,9;25,8;207,28;213,20;182,03;315,70;184,96;33,6;213,20;33,6
11.8.2026;2;00:15 - 00:30;177,0;36,3;41,1;1,8;39,3;183,82;178,01;166,90;225,00;170,00;42,9;178,01;42,9
11.8.2026;3;00:30 - 00:45;104,6;225,0;22,2;7,6;14,6;179,49;179,95;171,32;183,79;183,79;29,8;179,95;29,8
11.8.2026;4;00:45 - 01:00;105,5;106,0;23,8;6,0;17,8;156,53;158,44;150,01;167,62;163,14;29,8;158,44;29,8
11.8.2026;5;01:00 - 01:15;829,3;60,7;31,2;1,9;29,3;173,25;172,57;168,17;180,04;180,00;33,1;172,57;33,1
11.8.2026;6;01:15 - 01:30;74,4;61,5;22,9;2,2;20,7;163,10;163,19;158,80;168,00;168,00;25,1;163,19;25,1
11.8.2026;7;01:30 - 01:45;161,5;62,6;29,5;2,2;27,3;156,41;156,60;150,33;161,98;153,03;31,7;156,60;31,7
11.8.2026;8;01:45 - 02:00;117,6;69,8;28,1;3,0;25,1;148,26;150,61;141,26;161,15;161,15;31,1;150,61;31,1
11.8.2026;9;02:00 - 02:15;130,5;39,1;11,2;2,0;9,2;159,40;159,59;154,96;163,99;163,99;13,2;159,59;13,2
11.8.2026;10;02:15 - 02:30;123,3;201,1;8,1;6,9;1,2;150,00;149,28;143,73;156,97;151,48;15,0;149,28;15,0
11.8.2026;11;02:30 - 02:45;130,1;84,0;8,5;31,3;-22,8;147,56;151,36;138,02;156,62;156,62;39,8;151,36;39,8
11.8.2026;12;02:45 - 03:00;151,0;152,6;7,2;24,7;-17,5;140,59;141,64;137,88;147,80;139,54;31,9;141,64;31,9
11.8.2026;13;03:00 - 03:15;114,5;106,6;12,4;7,0;5,4;143,60;143,52;137,40;156,55;143,78;19,4;143,52;19,4
11.8.2026;14;03:15 - 03:30;71,4;66,0;11,1;6,2;4,9;140,52;141,57;136,82;145,56;145,00;17,3;141,57;17,3
