Obchodný deň;Číslo periódy;Perióda;Objednávky na nákup (MWh);Objednávky na predaj (MWh);Zobchodovaný nákup (MWh);Zobchodovaný predaj (MWh);Rozdiel zobchodovaných  množstiev (MWh);Priemerná cena obchodov (EUR/MWh);Váženy priemer cien všetkých obchodov (EUR/MWh);Minimálna cena (EUR/MWh);Maximálna cena (EUR/MWh);Posledná cena (EUR/MWh);Zobchodované množstvo (MWh);Vážený priemer cien zobchodovaných jednoduchých objednávok (EUR/MWh);Zobchodované množstvo jednoduchých objednávok (MWh)
11.8.2026;1;00:00 - 01:00;7118,6;57,9;24,1;1,3;22,8;178,69;179,58;175,00;180,11;177,89;25,4;179,58;25,4
11.8.2026;2;01:00 - 02:00;7979,0;73,5;28,8;2,0;26,8;160,55;160,96;157,67;165,14;165,00;30,8;160,96;30,8
11.8.2026;3;02:00 - 03:00;4176,2;84,4;24,4;3,7;20,7;148,17;147,51;144,03;153,85;152,39;28,1;147,51;28,1
11.8.2026;4;03:00 - 04:00;84,2;49,8;21,1;0,4;20,7;140,46;140,29;135,76;142,72;140,52;21,5;140,29;21,5
11.8.2026;5;04:00 - 05:00;93,1;73,0;18,2;5,7;12,5;142,27;142,32;141,04;146,01;142,93;23,9;142,32;23,9
11.8.2026;6;05:00 - 06:00;71,0;54,3;18,7;0,1;18,6;158,81;158,55;157,31;164,05;164,05;18,8;158,55;18,8
11.8.2026;7;06:00 - 07:00;89,6;126,4;3,7;6,0;-2,3;165,74;166,28;162,22;172,25;164,80;9,7;166,28;9,7
11.8.2026;8;07:00 - 08:00;136,5;105,3;10,0;8,2;1,8;162,61;163,60;157,90;165,00;164,29;18,2;163,60;18,2
11.8.2026;9;08:00 - 09:00;15618,7;6956,7;8,1;0,8;7,3;149,65;149,76;144,80;151,78;150,00;8,9;149,76;8,9
11.8.2026;10;09:00 - 10:00;5093,6;2084,2;65,9;30,9;35,0;124,91;121,82;104,09;135,42;121,99;96,8;121,82;96,8
11.8.2026;11;10:00 - 11:00;12352,9;3287,4;148,0;64,3;83,7;73,89;73,20;55,00;85,00;55,00;212,3;73,20;212,3
11.8.2026;12;11:00 - 12:00;15132,3;1152,9;169,5;113,5;56,0;78,31;75,41;63,12;135,00;63,12;283,0;75,41;283,0
11.8.2026;13;12:00 - 13:00;31534,3;25108,9;220,4;148,6;71,8;77,26;78,83;59,80;101,00;94,19;369,0;78,83;369,0
11.8.2026;14;13:00 - 14:00;12881,5;2772,5;109,3;98,2;11,1;76,98;78,39;60,00;99,90;99,90;207,5;78,39;207,5
11.8.2026;15;14:00 - 15:00;11152,5;1311,9;97,7;105,4;-7,7;94,71;95,11;39,96;121,65;109,00;203,1;95,11;203,1
11.8.2026;16;15:00 - 16:00;1765,3;1637,4;164,1;109,3;54,8;115,21;116,52;90,00;133,99;115,01;273,4;116,52;273,4
11.8.2026;17;16:00 - 17:00;1336,9;2314,8;65,5;90,8;-25,3;131,98;131,58;114,64;152,17;144,99;156,3;131,58;156,3
11.8.2026;18;17:00 - 18:00;124336,4;2912,1;97,8;65,2;32,6;207,31;209,92;178,44;230,00;218,00;163,0;209,92;163,0
11.8.2026;19;18:00 - 19:00;23869,7;2734,2;128,1;159,9;-31,8;211,65;210,94;201,05;230,00;207,01;288,0;210,94;288,0
11.8.2026;20;19:00 - 20:00;64501,1;2334,3;129,1;140,2;-11,1;219,31;218,90;203,00;261,98;261,98;269,3;218,90;269,3
11.8.2026;21;20:00 - 21:00;1224,7;2909,2;106,1;173,1;-67,0;235,91;235,22;225,30;270,74;241,18;279,2;235,22;279,2
11.8.2026;22;21:00 - 22:00;468,3;939,6;88,7;117,9;-29,2;214,49;214,23;204,00;234,30;205,70;206,6;214,23;206,6
11.8.2026;23;22:00 - 23:00;623,0;490,8;75,6;157,3;-81,7;206,79;204,10;185,28;249,00;249,00;232,9;204,10;232,9
